Nome,Sobre Nome,Nascimento,Sexo
Radusk,Emburtia,13/08/1994,F
Inailt,Teechril,04/11/1999,F
Baton,Stoephdan,23/03/2001,M
Tanest,Tonchaqua,15/12/2001,F
Rothdmos,Aneren,25/03/2003,M
Chafan,Kiemler,31/07/2004,F
Belwor,Delorton,04/11/1950,M
Pololdi,Neuyum,04/05/1954,F
Tiaep,Streltine,02/11/1954,M
Rilbano,Rabelcer,03/02/1957,M
Criunt,Echashqua,05/06/1957,M
Daneste,Athesscer,07/03/1962,F
Vormory,Ightinghon,20/04/1967,M
Urnas,Urningrak,29/09/1967,F
Sywor,Aterves,07/01/1973,F
Aughcaugh,Jybanough,02/05/1982,M
Kimsat,Cleimtai,14/06/1984,F
Emyt,Peylser,26/09/1993,F
Verek,Laphenth,21/12/1994,F
Dynrisu,Risdanril,13/04/1995,M
Enny,Zoedust,06/04/1996,F
Oneny,Chreineir,19/03/1997,M
Ightyf,Swiassul,25/09/1997,F
Morish,Sweilack,13/01/1998,F
Nysete,Risemina,09/08/1999,F
