Nome,Sobre Nome,Nascimento,Sexo
Votia,Worbanban,25/06/1950,F
Ensrod,Alddanar,02/06/1951,M
Tanaq,Ashonund,09/07/1952,M
Kygar,Miosray,16/06/1954,M
Koum,Endanor,11/04/1956,M
Faiss,Vorrilkim,21/02/1957,F
Essvoru,Cyskelyer,08/08/1957,M
Ightyd,Sesamtia,15/12/1957,F
Slaran,Casamund,08/02/1959,M
Heusk,Pelath,21/04/1963,M
Lyether,Sloesthat,19/07/1968,F
Echrili,Werishat,14/05/1971,F
Nalcer,Untashver,03/08/1974,F
Tinuy,Achturdra,27/07/1978,F
Tansryn,Urnkelban,11/09/1982,M
Ightber,Soghem,19/06/1992,M
Moaugh,Wheyntbur,05/01/1993,M
Yerisa,Snuldther,16/01/1993,F
Mosage,Kimtanis,04/04/1993,M
