Nome,Sobre Nome,Nascimento,Sexo
Rayit,Snounryn,16/09/1956,F
Aldhina,Osingelm,06/01/1958,F
Kimrilu,Dretend,24/08/1959,M
Imsayu,Awetny,07/05/1960,M
Nalar,Angetest,04/02/1961,M
Kines,Yasunt,02/03/1962,F
Rynrode,Untpolvor,20/12/1964,F
Awgash,Snuitsul,17/12/1965,M
Quash,Gimim,26/12/1965,M
Ingsban,Kinradan,16/11/1971,M
Rodny,Thranyeld,05/02/1972,M
Chraen,Stoolos,23/10/1975,F
Torran,Laildusk,12/02/1977,M
Faque,Banaughsam,26/06/1979,F
Quabtan,Trolerban,08/12/1980,M
Kinuste,Breoughler,22/06/1987,F
Torlsam,Quausad,02/02/1990,M
Imad,Schealeque,02/02/1994,M
