Nome,Sobre Nome,Nascimento,Sexo
Banasi,Vosamough,25/03/1983,F
Nuny,Refth,21/09/1984,F
Mosere,Boating,22/09/1986,M
Itdra,Dynvoreld,07/02/1987,M
Atert,Aspolet,18/01/1988,M
Ashed,Kiawque,27/11/1988,M
Bellon,Vorkalsay,16/06/1989,M
Kimyn,Quealeenth,01/07/1992,F
Oreb,Tiendard,08/03/1993,M
Issran,Yerdelest,30/05/1993,M
Sulhdan,Magald,07/02/2001,M
Danim,Yoldcha,24/08/2006,F
Peressa,Roeshcha,06/06/1995,F
Yerche,Nythend,27/01/1954,F
Kimtory,Imwarit,12/07/1961,M
Inggha,Seinausk,09/06/1969,F
Agehine,Imvesnal,15/07/1969,F
Emnard,Suvernys,27/10/1972,M
Rodryn,Chradtor,17/08/1976,M
